"","plot","year","integrated_ndvi","annual_mean","annual_median","winter_spring_mean","winter_spring_median","winter_spring_max","winter_spring_integrated","summer_mean","summer_median","summer_max","summer_integrated","n_winter_spring","n_summer","n_total"
"201","CM6",1985,116.010333728185,0.384140177907898,0.349133032335538,0.347604119820567,0.347626618483768,0.347824005048814,30.5891625442099,0.35150684122972,0.349133032335538,0.380161592338767,32.3386293931342,88,92,302
"202","CM6",1986,166.18543189337,0.45530255313252,0.416345274447189,0.549185517139032,0.564389800846707,0.599719271885886,82.9270130879938,0.395527679272101,0.395304358939334,0.416914440864455,36.3885464930333,151,92,365
"203","CM6",1987,151.319313964402,0.414573462916171,0.392370281630469,0.382752899959071,0.382979102635318,0.39493949348165,57.7956878938198,0.394628431165255,0.388688390394493,0.453526275864835,36.3058156672034,151,92,365
"204","CM6",1988,184.639091031948,0.504478390797673,0.487770483468063,0.528009270154974,0.525456264786379,0.586511470518,80.2574090635561,0.442842846343924,0.445231486818729,0.478527315105523,40.7415418636411,152,92,366
"205","CM6",1989,173.334702665936,0.47488959634503,0.463523534936231,0.534604475753408,0.530223774919555,0.592350826433505,80.7252758387646,0.405525419349129,0.401339202166755,0.433806524775436,37.3083385801199,151,92,365
"206","CM6",1990,193.728805322622,0.530763850198965,0.51084298130826,0.57462486457369,0.590043246302852,0.642761687110342,86.7683545506271,0.491821657388539,0.473797070568848,0.552391530952306,45.2475924797456,151,92,365
"207","CM6",1991,179.0187258669,0.490462262649042,0.515756798053387,0.518391186067402,0.519755257103866,0.54024852900488,78.2770690961778,0.402850650166643,0.399336061601791,0.485650991082311,37.0622598153311,151,92,365
"208","CM6",1992,170.197022717155,0.465019187751789,0.474343923238104,0.491851381915623,0.488607945139704,0.558914156614586,74.7614100511746,0.411104702604521,0.403108359406723,0.464746506530801,37.8216326396159,152,92,366
"209","CM6",1993,165.325606911497,0.452946868250677,0.482050081922983,0.504971945295586,0.506004852867359,0.523979069330022,76.2507637396335,0.36276155303494,0.359312266694517,0.408190863390028,33.3740628792145,151,92,365
"210","CM6",1994,152.030101279906,0.416520825424401,0.386488187941083,0.493381322181064,0.495196803502277,0.512594582656061,74.5005796493407,0.349704551795286,0.346978877663463,0.388315427275302,32.1728187651664,151,92,365
"211","CM6",1995,136.127877849204,0.372953089997818,0.352333225613541,0.351127214447629,0.352207886316863,0.354388066280066,53.0202093815919,0.321842809120627,0.311385663001209,0.412150773351382,29.6095384390977,151,92,365
"212","CM6",1996,177.002275297528,0.483612774036961,0.494907582761097,0.522692886164318,0.521363518042144,0.556187575759845,79.4493186969764,0.422232817991217,0.420945927728192,0.45421748563688,38.845419255192,152,92,366
"213","CM6",1997,175.784501198346,0.481601373146154,0.487602397514321,0.469934835225437,0.469090021718705,0.52228137822873,70.9601601190411,0.46879714989756,0.471682201814641,0.502970545713484,43.1293377905754,151,92,365
"214","CM6",1998,200.739377007962,0.549970895912223,0.543810356159224,0.569917987071847,0.573419594010393,0.624230845265262,86.0576160478489,0.505937100882081,0.500776188428106,0.536900634238668,46.5462132811514,151,92,365
"215","CM6",1999,147.653228539911,0.404529393260031,0.411040318177642,0.436678928376441,0.438521381649939,0.491034183425307,65.9385181848426,0.360366770385802,0.362440657484291,0.374993715609044,33.1537428754937,151,92,365
"216","CM6",2000,152.401478268282,0.416397481607326,0.401389206254453,0.397742097274487,0.386572013482126,0.543668993394892,60.456798785722,0.403601304934664,0.394837083616647,0.433414216384332,37.1313200539891,152,92,366
"217","CM6",2001,180.8899437387,0.495588886955343,0.499735182522781,0.527569751510265,0.517100557549786,0.592565221693976,79.66303247805,0.432457512986354,0.421857553635727,0.505425336511417,39.7860911947446,151,92,365
"218","CM6",2002,175.050135014419,0.479589410998409,0.493438187920868,0.480949466744867,0.476280087661345,0.562942424042378,72.6233694784749,0.455545490187437,0.444287442036469,0.5279397584063,41.9101850972441,151,92,365
"219","CM6",2003,186.407223296259,0.510704721359615,0.514826511900811,0.530596636282087,0.526425815137475,0.567866017278826,80.1200920785951,0.441535937582292,0.441935386091378,0.463398936482875,40.6213062575709,151,92,365
