"plot","ndvi","year","month","day"
"MM6",0.251852780580521,"1986","04","09"
"OM1",0.132156133651733,"1986","04","09"
"OM2",0.355524390935898,"1986","04","09"
"OM3",0.24800968170166,"1986","04","09"
"OM4",0.106744848191738,"1986","04","09"
"OM5",0.497204124927521,"1986","04","09"
"OM6",0.279192537069321,"1986","04","09"
"CM1",0.45926907658577,"1986","04","25"
"CM2",0.443298935890198,"1986","04","25"
"CM3",0.475119024515152,"1986","04","25"
"CM4",0.430362343788147,"1986","04","25"
"CM5",0.413089781999588,"1986","04","25"
"CM6",0.511836647987366,"1986","04","25"
"MM1",0.280154407024384,"1986","04","25"
"MM2",0.233108073472977,"1986","04","25"
"MM3",0.288036525249481,"1986","04","25"
"MM4",0.327691495418549,"1986","04","25"
"MM5",0.190024554729462,"1986","04","25"
"MM6",0.234495282173157,"1986","04","25"
"OM1",0.391639411449432,"1986","04","25"
"OM2",0.457546889781952,"1986","04","25"
"OM3",0.413194298744202,"1986","04","25"
"OM4",0.376519441604614,"1986","04","25"
"OM5",0.640483975410461,"1986","04","25"
"OM6",0.313646197319031,"1986","04","25"
"CM1",0.353446930646896,"1986","05","11"
"CM2",0.337509840726852,"1986","05","11"
"CM3",0.353616625070572,"1986","05","11"
"CM4",0.381915241479874,"1986","05","11"
"CM5",0.373429417610168,"1986","05","11"
"CM6",0.395903527736664,"1986","05","11"
"MM1",0.343416094779968,"1986","05","11"
"MM2",0.377774029970169,"1986","05","11"
"MM3",0.394095838069916,"1986","05","11"
"MM4",0.362088948488235,"1986","05","11"
"MM5",0.282533824443817,"1986","05","11"
"MM6",0.238734319806099,"1986","05","11"
"OM1",0.31134894490242,"1986","05","11"
"OM2",0.367639780044556,"1986","05","11"
"OM3",0.340527057647705,"1986","05","11"
"OM4",0.295261055231094,"1986","05","11"
"OM5",0.618059515953064,"1986","05","11"
"OM6",0.309601902961731,"1986","05","11"
"CM1",0.396865874528885,"1986","05","27"
"CM2",0.343655735254288,"1986","05","27"
"CM3",0.407240957021713,"1986","05","27"
"CM4",0.341373324394226,"1986","05","27"
"CM5",0.379464566707611,"1986","05","27"
"CM6",0.443370014429092,"1986","05","27"
"MM1",0.324373513460159,"1986","05","27"
"MM2",0.389224767684937,"1986","05","27"
"MM3",0.375349849462509,"1986","05","27"
"MM4",0.38577526807785,"1986","05","27"
"MM5",0.278729915618896,"1986","05","27"
"MM6",0.227474242448807,"1986","05","27"
"OM1",0.3217913210392,"1986","05","27"
"OM2",0.392996251583099,"1986","05","27"
"OM3",0.344336122274399,"1986","05","27"
"OM4",0.30091866850853,"1986","05","27"
"OM5",0.605142831802368,"1986","05","27"
"OM6",0.294290870428085,"1986","05","27"
"CM1",0.403932064771652,"1986","06","12"
"CM2",0.362259864807129,"1986","06","12"
"CM3",0.424161523580551,"1986","06","12"
"CM4",0.360610455274582,"1986","06","12"
"CM5",0.396315395832062,"1986","06","12"
"CM6",0.446447879076004,"1986","06","12"
"MM1",0.335489571094513,"1986","06","12"
"MM2",0.384785205125809,"1986","06","12"
"MM3",0.393540859222412,"1986","06","12"
"MM4",0.384050220251083,"1986","06","12"
"MM5",0.294984012842178,"1986","06","12"
"MM6",0.263829320669174,"1986","06","12"
"OM1",0.322457760572433,"1986","06","12"
"OM2",0.360651671886444,"1986","06","12"
"OM3",0.340431660413742,"1986","06","12"
"OM4",0.330467641353607,"1986","06","12"
"OM5",0.64318984746933,"1986","06","12"
"OM6",0.308916449546814,"1986","06","12"
"CM1",0.362951010465622,"1986","06","28"
"CM2",0.327957332134247,"1986","06","28"
"CM3",0.379501163959503,"1986","06","28"
"CM4",0.372073888778687,"1986","06","28"
"CM5",0.399323582649231,"1986","06","28"
"CM6",0.419761687517166,"1986","06","28"
"MM1",0.323700934648514,"1986","06","28"
"MM2",0.402757585048676,"1986","06","28"
"MM3",0.377090275287628,"1986","06","28"
"MM4",0.377090275287628,"1986","06","28"
"MM5",0.27308252453804,"1986","06","28"
"MM6",0.248028963804245,"1986","06","28"
"OM1",0.303810805082321,"1986","06","28"
"OM2",0.383441656827927,"1986","06","28"
"OM3",0.34001412987709,"1986","06","28"
"OM4",0.321787983179092,"1986","06","28"
"OM5",0.69608998298645,"1986","06","28"
"OM6",0.305924922227859,"1986","06","28"
"CM1",0.3729487657547,"1986","07","30"
"CM2",0.361235111951828,"1986","07","30"
"CM3",0.374063044786453,"1986","07","30"
"CM4",0.338418573141098,"1986","07","30"
"CM5",0.337517112493515,"1986","07","30"
"CM6",0.398893803358078,"1986","07","30"
"MM1",0.34944212436676,"1986","07","30"
"MM2",0.371136784553528,"1986","07","30"
"MM3",0.372014492750168,"1986","07","30"
"MM4",0.39789155125618,"1986","07","30"
"MM5",0.294312864542007,"1986","07","30"
"MM6",0.269853591918945,"1986","07","30"
"OM1",0.332278728485107,"1986","07","30"
"OM2",0.361038208007812,"1986","07","30"
"OM3",0.361212193965912,"1986","07","30"
"OM4",0.341669470071793,"1986","07","30"
"OM5",0.544584631919861,"1986","07","30"
"OM6",0.292298585176468,"1986","07","30"
"CM1",0.315134614706039,"1986","08","15"
"CM2",0.322182089090347,"1986","08","15"
"CM3",0.329085290431976,"1986","08","15"
"CM4",0.308848679065704,"1986","08","15"
"CM5",0.329788208007812,"1986","08","15"
"CM6",0.356252640485764,"1986","08","15"
"MM1",0.287568777799606,"1986","08","15"
"MM2",0.352877646684647,"1986","08","15"
"MM3",0.348090171813965,"1986","08","15"
"MM4",0.317470371723175,"1986","08","15"
"MM5",0.2615787088871,"1986","08","15"
"MM6",0.266203165054321,"1986","08","15"
"OM1",0.311087429523468,"1986","08","15"
"OM2",0.34947806596756,"1986","08","15"
"OM3",0.322584539651871,"1986","08","15"
"OM4",0.322186797857285,"1986","08","15"
"OM5",0.598124444484711,"1986","08","15"
"OM6",0.299079477787018,"1986","08","15"
"CM1",0.365941315889359,"1987","05","30"
"CM2",0.342097669839859,"1987","05","30"
"CM3",0.365700155496597,"1987","05","30"
"CM4",0.356702864170074,"1987","05","30"
"CM5",0.35545426607132,"1987","05","30"
"CM6",0.395884305238724,"1987","05","30"
"MM1",0.332381665706635,"1987","05","30"
"MM2",0.348840773105621,"1987","05","30"
"MM3",0.353548407554626,"1987","05","30"
"MM4",0.353475868701935,"1987","05","30"
"MM5",0.301001191139221,"1987","05","30"
"MM6",0.246370732784271,"1987","05","30"
